iter	RMSE
0	16.08168596
1	15.23173698
2	14.3536983
3	13.66083656
4	13.08216356
5	12.38380817
6	11.82713627
7	11.3687173
8	10.94161824
9	10.47286203
10	10.09492647
11	9.701117695
12	9.397232274
13	9.178062717
14	8.915230802
15	8.65957607
16	8.422665189
17	8.284321161
18	8.089051678
19	7.922220957
20	7.730052744
21	7.611590314
22	7.481776207
23	7.38182788
24	7.275690705
25	7.135705959
26	7.040785483
27	6.910074236
28	6.811652469
29	6.707950734
30	6.615070803
31	6.52261539
32	6.438478487
33	6.351998294
34	6.285465783
35	6.222061224
36	6.152781229
37	6.072873483
38	6.009757293
39	5.952021522
40	5.902143307
41	5.84639878
42	5.788251248
43	5.737493708
44	5.698987457
45	5.657173419
46	5.602465866
47	5.562987013
48	5.524052588
49	5.491179888
50	5.451990371
51	5.417543137
52	5.379737602
53	5.356963771
54	5.321749023
55	5.282208082
56	5.25233571
57	5.2214354
58	5.199041271
59	5.169435536
60	5.14375353
61	5.114263696
62	5.092213912
63	5.07212171
64	5.050787787
65	5.030596858
66	5.002397108
67	4.982903038
68	4.959172056
69	4.937116298
70	4.912330941
71	4.890001663
72	4.86836303
73	4.851299792
74	4.838185138
75	4.827873916
76	4.811312139
77	4.791481664
78	4.777983259
79	4.765229839
80	4.752875043
81	4.740836224
82	4.729526435
83	4.707036957
84	4.686077556
85	4.677070429
86	4.669996755
87	4.658353645
88	4.643238665
89	4.621202891
90	4.610300814
91	4.591637501
92	4.583089133
93	4.575326105
94	4.565915479
95	4.551555228
96	4.544064607
97	4.536922013
98	4.521575166
99	4.515031459
100	4.499269179
101	4.491070838
102	4.485530259
103	4.477422711
104	4.466671163
105	4.462061284
106	4.452020988
107	4.445825216
108	4.430752659
109	4.423178467
110	4.417831398
111	4.406630492
112	4.401090657
113	4.394095275
114	4.387592248
115	4.373117739
116	4.361280963
117	4.353422609
118	4.342514275
119	4.3385276
120	4.331278148
121	4.326341432
122	4.309588337
123	4.301348468
124	4.2951394
125	4.290913603
126	4.280064061
127	4.26512123
128	4.255056104
129	4.250715698
130	4.230890231
131	4.221390886
132	4.220591367
133	4.209627776
134	4.197469333
135	4.190762526
136	4.181896386
137	4.17721566
138	4.168484329
139	4.15543052
140	4.144889595
141	4.138195996
142	4.133667268
143	4.132416559
144	4.125043016
145	4.114887893
146	4.107354622
147	4.090015578
148	4.085922281
149	4.072113382
150	4.064506398
151	4.055457551
152	4.045082679
153	4.039745502
154	4.032792762
155	4.023738461
156	4.016516722
157	4.009897085
158	4.001281044
159	3.992624387
160	3.985198242
161	3.975507172
162	3.969944544
163	3.961914273
164	3.960883166
165	3.956354201
166	3.950748958
167	3.945244637
168	3.94058282
169	3.931454516
170	3.92516856
171	3.91409726
172	3.904074875
173	3.903502802
174	3.902959853
175	3.896364809
176	3.889095637
177	3.887065929
178	3.878750359
179	3.867345205
180	3.859964211
181	3.856649819
182	3.846541676
183	3.831584083
184	3.826816005
185	3.816431354
186	3.810055329
187	3.803290139
188	3.795015054
189	3.787717301
190	3.777302483
191	3.769213526
192	3.764451834
193	3.754132931
194	3.75264692
195	3.742616553
196	3.732019428
197	3.726187634
198	3.717489469
199	3.710234209
