iter	Passed	Remaining
0	148	148315
1	152	75907
2	155	51666
3	158	39583
4	162	32308
5	165	27442
6	168	23948
7	171	21300
8	174	19170
9	176	17468
10	178	16024
11	179	14818
12	181	13773
13	182	12861
14	183	12066
15	184	11371
16	186	10764
17	187	10228
18	188	9744
19	189	9305
20	191	8908
21	192	8547
22	193	8215
23	194	7913
24	195	7635
25	196	7379
26	198	7142
27	199	6920
28	200	6717
29	201	6526
30	203	6352
31	204	6182
32	205	6021
33	206	5873
34	207	5731
35	209	5600
36	210	5484
37	211	5365
38	213	5252
39	214	5144
40	216	5052
41	217	4958
42	218	4868
43	219	4778
44	221	4693
45	222	4611
46	223	4533
47	224	4459
48	226	4387
49	227	4318
50	228	4251
51	229	4189
52	231	4131
53	232	4074
54	234	4022
55	235	3968
56	236	3915
57	237	3864
58	239	3815
59	240	3768
60	241	3723
61	243	3678
62	244	3634
63	245	3593
64	247	3554
65	248	3514
66	249	3475
67	250	3438
68	252	3402
69	253	3367
70	254	3333
71	256	3299
72	257	3268
73	258	3235
74	259	3206
75	261	3177
76	262	3147
77	263	3118
78	265	3092
79	266	3064
80	267	3037
81	269	3012
82	270	2988
83	271	2964
84	273	2942
85	274	2920
86	276	2899
87	277	2877
88	278	2855
89	280	2833
90	281	2812
91	282	2791
92	284	2772
93	285	2752
94	286	2732
95	288	2714
96	289	2696
97	291	2678
98	292	2661
99	293	2643
100	295	2626
101	296	2609
102	297	2593
103	299	2576
104	300	2561
105	301	2545
106	303	2532
107	304	2517
108	306	2503
109	307	2489
110	309	2475
111	310	2457
112	311	2444
113	312	2429
114	314	2416
115	315	2403
116	316	2391
117	318	2379
118	319	2367
119	321	2354
120	322	2342
121	323	2329
122	325	2318
123	326	2306
124	327	2295
125	329	2283
126	330	2272
127	332	2262
128	333	2253
129	335	2242
130	336	2233
131	338	2222
132	340	2220
133	343	2219
134	345	2213
135	347	2207
136	349	2201
137	352	2202
138	354	2197
139	356	2191
140	358	2185
141	360	2178
142	362	2172
143	364	2165
144	366	2158
145	367	2151
146	369	2144
147	371	2140
148	373	2134
149	375	2127
150	376	2119
151	378	2113
152	380	2106
153	382	2100
154	384	2096
155	387	2095
156	389	2092
157	391	2086
158	393	2082
159	395	2077
160	397	2070
161	399	2066
162	401	2060
163	403	2055
164	405	2053
165	407	2047
166	409	2042
167	411	2036
168	413	2031
169	414	2025
170	416	2019
171	418	2013
172	420	2007
173	421	2002
174	423	1995
175	425	1989
176	427	1985
177	428	1980
178	430	1974
179	432	1968
180	433	1962
181	435	1957
182	437	1951
183	438	1945
184	440	1940
185	442	1934
186	443	1929
187	445	1924
188	447	1919
189	449	1914
190	450	1909
191	452	1905
192	455	1904
193	457	1900
194	459	1895
195	460	1890
196	463	1887
197	465	1885
198	467	1880
199	468	1875
