iter	RMSE
0	16.67855561
1	16.27770468
2	15.92540231
3	15.57773673
4	15.21449974
5	14.86779261
6	14.56939088
7	14.22810637
8	13.91259032
9	13.61712134
10	13.37962419
11	13.15629983
12	12.88737645
13	12.60932039
14	12.37772616
15	12.13798983
16	11.93422397
17	11.69700848
18	11.48296525
19	11.27550151
20	11.07335427
21	10.88428961
22	10.71377575
23	10.53093442
24	10.36905232
25	10.17780566
26	10.01207071
27	9.857423047
28	9.695220569
29	9.546684131
30	9.409355886
31	9.267991924
32	9.133096189
33	8.998251115
34	8.879607312
35	8.749980468
36	8.631316185
37	8.516577264
38	8.405147545
39	8.287765371
40	8.179706765
41	8.081001301
42	7.990171708
43	7.901833404
44	7.804912691
45	7.70489346
46	7.617189331
47	7.534348555
48	7.455732832
49	7.369108527
50	7.300629538
51	7.217248885
52	7.160215653
53	7.094733148
54	7.023976121
55	6.965810569
56	6.893551356
57	6.840959527
58	6.776149294
59	6.7184556
60	6.665654527
61	6.615972618
62	6.572253911
63	6.522085349
64	6.468679962
65	6.419440577
66	6.370855692
67	6.324813006
68	6.285096615
69	6.23832157
70	6.194271796
71	6.151303789
72	6.104854424
73	6.059410568
74	6.019313856
75	5.978436668
76	5.945046481
77	5.90907751
78	5.875706613
79	5.839112434
80	5.804846996
81	5.76614373
82	5.735710787
83	5.704106786
84	5.672987647
85	5.646651202
86	5.613880414
87	5.586984944
88	5.56008297
89	5.52884248
90	5.50271031
91	5.475484541
92	5.448234338
93	5.420334536
94	5.390323826
95	5.366167747
96	5.339307063
97	5.315242341
98	5.290790764
99	5.267716846
100	5.238946697
101	5.217068433
102	5.188832353
103	5.164025059
104	5.142834501
105	5.124140543
106	5.102281213
107	5.083196957
108	5.062753654
109	5.041331453
110	5.023625399
111	5.005048075
112	4.983669966
113	4.965588129
114	4.948629763
115	4.932726651
116	4.914711365
117	4.901692028
118	4.885919025
119	4.864238021
120	4.848018391
121	4.828353843
122	4.813601244
123	4.792806879
124	4.780107413
125	4.766006221
126	4.747292688
127	4.735554856
128	4.71876535
129	4.706818722
130	4.691845322
131	4.677998065
132	4.659795317
133	4.647731586
134	4.631123489
135	4.61834223
136	4.605935636
137	4.590459973
138	4.574737705
139	4.56032841
140	4.550939457
141	4.53802448
142	4.525505628
143	4.512097185
144	4.501760054
145	4.490533847
146	4.476780688
147	4.465767919
148	4.454302652
149	4.44587704
150	4.43292026
151	4.423260286
152	4.412791384
153	4.403582952
154	4.394697126
155	4.38247353
156	4.371578058
157	4.360945897
158	4.351891519
159	4.342465374
160	4.331297801
161	4.32066102
162	4.310773303
163	4.299635781
164	4.2903508
165	4.281592456
166	4.272882941
167	4.263204075
168	4.254215693
169	4.246846768
170	4.238931771
171	4.227204314
172	4.21967557
173	4.212509766
174	4.205231122
175	4.195020849
176	4.185938329
177	4.181020609
178	4.173909951
179	4.164974595
180	4.155545522
181	4.147084168
182	4.138854405
183	4.132779583
184	4.125746458
185	4.116880557
186	4.108638219
187	4.101629278
188	4.096785769
189	4.08964016
190	4.081388785
191	4.078575126
192	4.066340172
193	4.059518365
194	4.045543873
195	4.035744003
196	4.030677537
197	4.022049866
198	4.016917498
199	4.009857934
200	4.006272668
201	4.000543686
202	3.995224846
203	3.990275399
204	3.982752515
205	3.976206886
206	3.965894351
207	3.959220514
208	3.953941912
209	3.948702817
210	3.935986742
211	3.931167708
212	3.926129902
213	3.921393894
214	3.917946022
215	3.909441527
216	3.903065286
217	3.894475647
218	3.889462703
219	3.884410766
220	3.878294655
221	3.872920092
222	3.868602299
223	3.864118572
224	3.858892841
225	3.855760165
226	3.850290576
227	3.844236088
228	3.839628346
229	3.83080268
230	3.823424213
231	3.819148215
232	3.815842586
233	3.806128384
234	3.803343083
235	3.799278846
236	3.792060783
237	3.785897112
238	3.782221116
239	3.779681913
240	3.775016431
241	3.770902387
242	3.766881828
243	3.7634009
244	3.756331044
245	3.753179531
246	3.748780197
247	3.740855406
248	3.730885535
249	3.727772417
250	3.71989301
251	3.713743609
252	3.705363475
253	3.699409781
254	3.696871978
255	3.69182687
256	3.689710361
257	3.68504708
258	3.67818055
259	3.674467601
260	3.667997735
261	3.664108359
262	3.661778284
263	3.658831707
264	3.652912034
265	3.648221265
266	3.644344387
267	3.637488507
268	3.635206166
269	3.631605909
270	3.628806866
271	3.624094475
272	3.617056038
273	3.611799162
274	3.607739309
275	3.604268043
276	3.596405162
277	3.590341406
278	3.583605524
279	3.579562372
280	3.575577682
281	3.570534382
282	3.56601605
283	3.561296111
284	3.554952047
285	3.549516375
286	3.545384043
287	3.541107671
288	3.534811415
289	3.528532825
290	3.525097782
291	3.522282976
292	3.520228652
293	3.516845722
294	3.512964057
295	3.506813399
296	3.504105569
297	3.498345394
298	3.494752988
299	3.488234345
300	3.482258395
301	3.479681105
302	3.476812257
303	3.467694773
304	3.461524418
305	3.454511484
306	3.447924345
307	3.440154498
308	3.436052831
309	3.431919542
310	3.423720171
311	3.420362912
312	3.415574266
313	3.408988558
314	3.408441626
315	3.40241372
316	3.399142388
317	3.392336925
318	3.384173133
319	3.381345283
320	3.374562881
321	3.37176249
322	3.367533843
323	3.364824322
324	3.358712805
325	3.351318864
326	3.342607155
327	3.341792446
328	3.33474212
329	3.330198252
330	3.324313747
331	3.318113079
332	3.311833819
333	3.305149887
334	3.30465465
335	3.29834966
336	3.29313308
337	3.289494849
338	3.284255942
339	3.280267707
340	3.271451608
341	3.268135384
342	3.265031246
343	3.259408963
344	3.251045616
345	3.246496319
346	3.240067077
347	3.236992847
348	3.231163754
349	3.226777234
350	3.226296187
351	3.221566418
352	3.216343212
353	3.208908111
354	3.202051376
355	3.201598275
356	3.196460901
357	3.187953439
358	3.182930918
359	3.177555279
360	3.169985214
361	3.164532339
362	3.164276506
363	3.158666381
364	3.153068908
365	3.146509326
366	3.139384257
367	3.134586236
368	3.12963214
369	3.125448085
370	3.125054934
371	3.119593323
372	3.115370957
373	3.111730438
374	3.111378645
375	3.103689588
376	3.097881686
377	3.09024416
378	3.086358611
379	3.081819472
380	3.081444572
381	3.074888556
382	3.066787222
383	3.061348169
384	3.06111281
385	3.056103389
386	3.051430366
387	3.047050767
388	3.043082305
389	3.03721051
390	3.032416516
391	3.032151196
392	3.02629008
393	3.02604506
394	3.021404868
395	3.01586878
396	3.010650392
397	3.010405244
398	3.007098908
399	3.001695207
400	2.996251424
401	2.996078109
402	2.991610299
403	2.986590813
404	2.981985984
405	2.977231481
406	2.97697832
407	2.972809232
408	2.967633675
409	2.963619079
410	2.958504067
411	2.952974525
412	2.94690648
413	2.941627791
414	2.934820202
