iter	Passed	Remaining
0	2	2283
1	3	1948
2	5	1955
3	7	1871
4	9	1983
5	11	1939
6	13	1978
7	15	1942
8	17	1919
9	18	1863
10	19	1782
11	21	1745
12	22	1725
13	25	1767
14	26	1760
15	28	1738
16	29	1713
17	31	1699
18	34	1762
19	35	1752
20	38	1804
21	40	1791
22	41	1780
23	43	1771
24	45	1761
25	46	1753
26	48	1763
27	50	1752
28	52	1756
29	54	1749
30	55	1738
31	57	1729
32	58	1724
33	61	1742
34	62	1735
35	64	1736
36	67	1752
37	71	1818
38	73	1813
39	76	1843
40	78	1842
41	81	1859
42	87	1938
43	89	1936
44	91	1940
45	93	1938
46	95	1939
47	97	1942
48	100	1956
49	102	1951
50	105	1957
51	108	1975
52	110	1968
53	112	1969
54	114	1965
55	116	1961
56	117	1952
57	119	1945
58	121	1936
59	123	1929
60	124	1920
61	127	1923
62	128	1916
63	130	1909
64	132	1900
65	133	1891
66	135	1883
67	137	1885
68	139	1878
69	140	1870
70	142	1862
71	143	1855
72	145	1853
73	147	1845
74	148	1837
75	150	1830
76	154	1848
77	155	1842
78	157	1833
79	158	1827
80	160	1821
81	162	1815
82	163	1808
83	165	1801
84	166	1796
85	169	1797
86	172	1806
87	174	1804
88	175	1798
89	177	1791
90	178	1785
91	180	1780
92	182	1779
93	184	1779
94	186	1778
95	188	1774
96	190	1770
97	192	1767
98	193	1764
99	195	1760
100	198	1763
101	199	1757
102	201	1755
103	203	1751
104	204	1746
105	206	1743
106	209	1745
107	210	1741
108	212	1739
109	214	1738
110	216	1734
111	218	1729
112	219	1724
113	221	1719
114	223	1720
115	225	1717
116	227	1715
117	230	1719
118	232	1718
119	233	1714
120	235	1711
121	237	1707
122	239	1705
123	244	1728
124	246	1725
125	248	1722
126	250	1723
127	253	1725
128	258	1744
129	260	1744
130	264	1752
131	267	1757
132	269	1758
133	271	1756
134	273	1753
135	276	1756
136	278	1752
137	280	1749
138	282	1750
139	284	1746
140	286	1743
141	287	1739
142	290	1743
143	293	1741
144	295	1740
145	297	1737
146	298	1733
147	300	1729
148	302	1728
149	304	1723
150	305	1718
151	307	1713
